"","ContigID","Protein_Hit","Gene","Drug","Mechanism","Genus","Species","Family","PlasmidOrChr","Type"
"1977","k141_77118.concoct_part_1","AAC73788","kdpE","Aminoglycoside","antibiotic efflux","Serratia","Serratia marcescens",NA,"Plasmid","Plasmid"
"1976","k141_771117.concoct_part_0","ANZ79241","tetB(60)","Tetracycline","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1975","k141_77066.concoct_part_4","BAE06006","mexN","Phenicol","antibiotic efflux","Salmonella","Salmonella enterica",NA,"Chromosome","Chromosome"
"1974","k141_77066.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Moraxella","Moraxella catarrhalis",NA,"Chromosome","Chromosome"
"1973","k141_769688.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"1972","k141_768682.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"1971","k141_768221.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1970","k141_768079.concoct_part_0","AFH35853","Escherichia coli mdfA","Tetracycline","antibiotic efflux","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"1969","k141_767479.concoct_part_0","AAG07064","mexK","Multidrug","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"1968","k141_767394.concoct_part_0","WP_000192137","arlR","Fluoroquinolone","antibiotic efflux","Rothia","Rothia mucilaginosa",NA,"Chromosome","Chromosome"
"1967","k141_766855.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"1966","k141_76404.concoct_part_0","AAF42062","mtrD","Multidrug","antibiotic efflux","Neisseria","Neisseria subflava",NA,"Chromosome","Chromosome"
"1965","k141_76311.concoct_part_0","AAN00989","Streptococcus agalactiae mprF","Peptide antibiotic","antibiotic target alteration","Staphylococcus","Staphylococcus aureus",NA,"Chromosome","Chromosome"
"1964","k141_762608.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Treponema","Treponema denticola",NA,"Chromosome","Chromosome"
"1963","k141_760124.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"1962","k141_759358.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Neisseria","Neisseria subflava",NA,"Chromosome","Chromosome"
"1961","k141_758285.concoct_part_0","CAA09666","Klebsiella pneumoniae OmpK37","Beta-lactam","reduced permeability to antibiotic","Klebsiella","Klebsiella aerogenes",NA,"Chromosome","Chromosome"
"1960","k141_757588.concoct_part_0","BAA15934","baeS","Aminoglycoside","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"1959","k141_757278.concoct_part_0","AAF42062","mtrD","Multidrug","antibiotic efflux","Lautropia","Lautropia mirabilis",NA,"Chromosome","Chromosome"
"1958","k141_755914.concoct_part_1","ABO11759","Acinetobacter baumannii AbaF","Fosfomycin","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"1957","k141_753600.concoct_part_1","ALH22601","adeL","Multidrug","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"1956","k141_752149.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Neisseria","Neisseria flavescens",NA,"Chromosome","Chromosome"
"1955","k141_750653.concoct_part_5","BAJ42218","Escherichia coli ampH","Beta-lactam","antibiotic inactivation","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"1954","k141_750653.concoct_part_4","ALH22601","adeL","Multidrug","antibiotic efflux","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"1953","k141_750363.concoct_part_0","CAA09666","Klebsiella pneumoniae OmpK37","Beta-lactam","reduced permeability to antibiotic","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"1952","k141_749093.concoct_part_0","ALV80601","bcr-1","Bicyclomycin","antibiotic efflux","Haemophilus","Haemophilus influenzae",NA,"Chromosome","Chromosome"
"1951","k141_747270.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1950","k141_744559.concoct_part_0","AAK99679","pmrA","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus parasanguinis",NA,"Chromosome","Chromosome"
"1949","k141_744035.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Rothia","Rothia mucilaginosa",NA,"Chromosome","Chromosome"
"1948","k141_743243.concoct_part_0","AAC76093","bacA","Peptide antibiotic","antibiotic target alteration","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"1947","k141_743187.concoct_part_9","AAB58161","ceoB","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1946","k141_741703.concoct_part_0","AAG03816","OprM","Multidrug","antibiotic efflux","Lautropia","Lautropia mirabilis",NA,"Chromosome","Chromosome"
"1945","k141_74028.concoct_part_2","AFH35853","Escherichia coli mdfA","Tetracycline","antibiotic efflux","Serratia","Serratia marcescens",NA,"Plasmid","Plasmid"
"1944","k141_739324.concoct_part_0","ALH22601","adeL","Multidrug","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"1943","k141_736201.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"1942","k141_735136.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Streptococcus","Streptococcus oralis",NA,"Chromosome","Chromosome"
"1941","k141_734754.concoct_part_0","AET10445","tetB(46)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"1940","k141_732221.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1939","k141_727684.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1938","k141_726570.concoct_part_0","CAE51638","APH(3')-Ia","Aminoglycoside","antibiotic inactivation","Pasteurella","Pasteurella multocida",NA,"Plasmid","Plasmid"
"1937","k141_72063.concoct_part_0","AET10445","tetB(46)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus australis",NA,"Chromosome","Chromosome"
"1936","k141_718621.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Prevotella","Prevotella denticola",NA,"Chromosome","Chromosome"
"1935","k141_717917.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"1934","k141_715889.concoct_part_0","ABO11759","Acinetobacter baumannii AbaF","Fosfomycin","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"1933","k141_712693.concoct_part_0","CAA10975","tetW","Tetracycline","antibiotic target protection","Abiotrophia","Abiotrophia defectiva",NA,"Chromosome","Chromosome"
"1932","k141_711811.concoct_part_0","BAA34300","mexY","Multidrug","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"1931","k141_707617.concoct_part_0","NP_249116","MexA","Multidrug","antibiotic efflux","Enterobacter","Enterobacter hormaechei",NA,"Chromosome","Chromosome"
"1930","k141_706491.concoct_part_0","AAG03816","OprM","Multidrug","antibiotic efflux","Lautropia","Lautropia mirabilis",NA,"Chromosome","Chromosome"
"1929","k141_704573.concoct_part_0","ANZ79241","tetB(60)","Tetracycline","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1928","k141_701633.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Lactobacillus","Lactobacillus jensenii",NA,"Chromosome","Chromosome"
"1927","k141_701429.concoct_part_0","CAQ49384","tetM","Tetracycline","antibiotic target protection","Staphylococcus","Staphylococcus aureus",NA,"Plasmid","Plasmid"
"1926","k141_700203.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Prevotella","Prevotella melaninogenica",NA,"Chromosome","Chromosome"
"1925","k141_694721.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"1924","k141_69393.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Veillonella","Veillonella parvula",NA,"Chromosome","Chromosome"
"1923","k141_692222.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1922","k141_69143.concoct_part_0","ANZ79241","tetB(60)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"1921","k141_690716.concoct_part_0","AAF42063","mtrC","Multidrug","antibiotic efflux","Neisseria","Neisseria subflava",NA,"Chromosome","Chromosome"
"1920","k141_689312.concoct_part_0","AAC77293","mdtM","Multidrug","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"1919","k141_688863.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Haemophilus","Haemophilus parahaemolyticus",NA,"Chromosome","Chromosome"
"1918","k141_672286.concoct_part_9","BAA11237","emrY","Tetracycline","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"1917","k141_672286.concoct_part_8","AAC75731","emrR","Fluoroquinolone","antibiotic efflux","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"1916","k141_672286.concoct_part_7","ALH22601","adeL","Multidrug","antibiotic efflux","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"1915","k141_66641.concoct_part_0","SIP52035","Pseudomonas aeruginosa CpxR","MLS","antibiotic efflux","Moraxella","Moraxella catarrhalis",NA,"Chromosome","Chromosome"
"1914","k141_664733.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Actinomyces","Actinomyces naeslundii",NA,"Chromosome","Chromosome"
"1913","k141_664136.concoct_part_0","ANZ79240","tetA(60)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus pneumoniae",NA,"Chromosome","Chromosome"
"1912","k141_660683.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Haemophilus","Haemophilus parahaemolyticus",NA,"Chromosome","Chromosome"
"1911","k141_659038.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Mogibacterium","Mogibacterium diversum",NA,"Chromosome","Chromosome"
"1910","k141_657901.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Rothia","Rothia dentocariosa",NA,"Chromosome","Chromosome"
"1909","k141_655571.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Capnocytophaga","Capnocytophaga leadbetteri",NA,"Chromosome","Chromosome"
"1908","k141_654597.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Actinomyces","Actinomyces naeslundii",NA,"Chromosome","Chromosome"
"1907","k141_651998.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1906","k141_649376.concoct_part_0","ANZ79241","tetB(60)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus sanguinis",NA,"Chromosome","Chromosome"
"1905","k141_646709.concoct_part_0","CAC14595","smeE","Multidrug","antibiotic efflux","Veillonella","Veillonella atypica",NA,"Chromosome","Chromosome"
"1904","k141_64478.concoct_part_0","AAF42063","mtrC","Multidrug","antibiotic efflux","Neisseria","Neisseria cinerea",NA,"Chromosome","Chromosome"
"1903","k141_64389.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Streptococcus","Streptococcus australis",NA,"Chromosome","Chromosome"
"1902","k141_643741.concoct_part_0","AET10445","tetB(46)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus parasanguinis",NA,"Chromosome","Chromosome"
"1901","k141_641653.concoct_part_13","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Prevotella","Prevotella intermedia",NA,"Chromosome","Chromosome"
"1900","k141_6376.concoct_part_0","CAJ77856","adeF","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1899","k141_636842.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"1898","k141_636206.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Rothia","Rothia dentocariosa",NA,"Chromosome","Chromosome"
"1897","k141_632612.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Clostridium","Clostridium botulinum",NA,"Chromosome","Chromosome"
"1896","k141_631285.concoct_part_0","CAA79727","tetQ","Tetracycline","antibiotic target protection","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"1895","k141_631204.concoct_part_0","CAA10975","tetW","Tetracycline","antibiotic target protection","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"1894","k141_630382.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Atopobium","Atopobium parvulum",NA,"Chromosome","Chromosome"
"1893","k141_625316.concoct_part_0","BAG33043","pgpB","Peptide antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"1892","k141_61949.concoct_part_0","AAW38464","Staphylococcys aureus LmrS","Multidrug","antibiotic efflux","Lactobacillus","Lactobacillus salivarius",NA,"Chromosome","Chromosome"
"1891","k141_618881.concoct_part_0","CAA09666","Klebsiella pneumoniae OmpK37","Beta-lactam","reduced permeability to antibiotic","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"1890","k141_613989.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"1889","k141_613559.concoct_part_0","AAV85981","macA","MLS","antibiotic efflux","Neisseria","Neisseria mucosa",NA,"Chromosome","Chromosome"
"1888","k141_6129.concoct_part_0","AAL59753","sul2","Sulfonamide antibiotic","antibiotic target replacement","Proteus","Proteus mirabilis",NA,"Chromosome","Chromosome"
"1887","k141_600197.concoct_part_0","AYV52072","lmrD","MLS","antibiotic efflux","Rothia","Rothia dentocariosa",NA,"Chromosome","Chromosome"
"1886","k141_599086.concoct_part_3","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"1885","k141_599086.concoct_part_0","AAB41958","OprJ","Multidrug","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"1884","k141_598556.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Neisseria","Neisseria sp.",NA,"Chromosome","Chromosome"
"1883","k141_59572.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Prevotella","Prevotella melaninogenica",NA,"Chromosome","Chromosome"
"1882","k141_592390.concoct_part_1","ACJ41547","Acinetobacter baumannii AbaQ","Fluoroquinolone","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"1881","k141_591418.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Enterobacter","Enterobacter hormaechei",NA,"Chromosome","Chromosome"
"1880","k141_590148.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Prevotella","Prevotella intermedia",NA,"Chromosome","Chromosome"
"1879","k141_583486.concoct_part_0","CAJ32504","aadA6","Aminoglycoside","antibiotic inactivation","Pseudomonas","Pseudomonas aeruginosa",NA,"Plasmid","Plasmid"
"1878","k141_583450.concoct_part_0","AFK80745","GES-21","Beta-lactam","antibiotic inactivation","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
